t,agentID,homeLoc,candLoc,candIdx,isHome,layers,nLayers,value,familiarity,attachPenFrac,movingCost,creditBlocked,distressMode
62,46,1,4,1,0,unskilled1|unskilled2,2,51.3409579392611,0.200030312758257,0.231548977633767,0.578767724356398,0,0
62,46,1,4,2,0,school,1,7.0131486885201,0.00370599357767431,0.288374500045308,0.578767724356398,0,0
62,46,1,4,3,0,unskilled1|cassava,2,64.3977445572166,0.259584635572114,0.214311146274474,0.578767724356398,0,0
62,46,1,4,4,0,unskilled1|maize|industrial_crop,3,60.8568353177006,0.453847635882196,0.158082266816601,0.578767724356398,0,0
62,46,1,4,5,0,unskilled2|maize|industrial_crop,3,70.6588912979938,0.378576688654357,0.179869230940486,0.578767724356398,0,0
62,46,1,4,6,0,rice_south|maize|industrial_crop,3,60.8172518038369,0.362274325432041,0.184587904156914,0.578767724356398,0,0
62,46,1,4,7,0,maize|cassava|industrial_crop,3,41.2890553007649,0.418279570530262,0.168377343367624,0.578767724356398,0,0
62,46,1,5,1,0,school,1,6.8632005209855,0.00370599357767431,0.288374500045308,3.16605928976441,0,0
62,46,1,5,2,0,unskilled1|school,2,52.7693546802027,0.158321363588845,0.243621515746624,3.16605928976441,0,0
62,46,1,5,3,0,unskilled1|rice_north,2,55.4338474465178,0.183992983826796,0.236190937419593,3.16605928976441,0,0
62,46,1,5,4,0,unskilled1|maize|industrial_crop,3,58.6172534863238,0.453847635882196,0.158082266816601,3.16605928976441,0,0
62,46,1,5,5,0,unskilled2|maize|industrial_crop,3,60.5135500807508,0.378576688654357,0.179869230940486,3.16605928976441,0,0
62,46,1,5,6,0,rice_north|maize|industrial_crop,3,47.5666264562853,0.367885136033383,0.182963870797704,3.16605928976441,0,0
62,46,1,18,1,0,unskilled1|unskilled2,2,59.5022503366478,0.200030312758257,0.231548977633767,0.576613583936559,0,0
62,46,1,18,2,0,school,1,8.82115409602211,0.00370599357767431,0.288374500045308,0.576613583936559,0,0
62,46,1,18,3,0,unskilled1|school,2,53.18786781822,0.158321363588845,0.243621515746624,0.576613583936559,0,0
62,46,1,18,4,0,unskilled2|cassava,2,71.232019714509,0.146678214730355,0.246991592460301,0.576613583936559,0,0
62,46,1,18,5,0,unskilled1|maize|industrial_crop,3,79.8243646513815,0.453847635882196,0.158082266816601,0.576613583936559,0,0
62,46,1,18,6,0,unskilled2|maize|industrial_crop,3,81.9551258402596,0.378576688654357,0.179869230940486,0.576613583936559,0,0
63,50,21,13,1,0,unskilled1|unskilled2,2,35.3660655829569,0.0981369200589425,0.395775998148187,4.33045567713528,0,0
63,50,21,13,2,0,unskilled1|cassava,2,31.7234924596589,0.17161526090893,0.363530567174256,4.33045567713528,0,0
63,50,21,13,3,0,unskilled2|cassava,2,39.2395450345747,0.172026655568552,0.363350029645149,4.33045567713528,0,0
63,50,21,13,4,0,unskilled1|maize|industrial_crop,3,40.7357520296918,0.392005291395775,0.266814018689378,4.33045567713528,0,0
63,50,21,13,5,0,unskilled2|maize|industrial_crop,3,43.9620342530648,0.39227955450219,0.26669366033664,4.33045567713528,0,0
63,50,21,13,6,0,maize|cassava|industrial_crop,3,29.7078064772298,0.441265115068848,0.245196706354019,4.33045567713528,0,0
63,50,21,14,1,0,school,1,-1.99800933958892,0.0362270653129127,0.422944683841497,3.20842987491053,0,0
63,50,21,14,2,0,unskilled1|school,2,27.3764958403308,0.0669762953561161,0.409450609759395,3.20842987491053,0,0
63,50,21,14,3,0,unskilled1|cassava,2,25.4522763274722,0.17161526090893,0.363530567174256,3.20842987491053,0,0
63,50,21,14,4,0,unskilled2|maize|industrial_crop,3,32.4788660629089,0.39227955450219,0.26669366033664,3.20842987491053,0,0
63,50,21,14,5,0,maize|cassava|industrial_crop,3,27.9092899173864,0.441265115068848,0.245196706354019,3.20842987491053,0,0
63,50,21,21,1,1,unskilled1|unskilled2,2,25.4063364134478,0.0981369200589425,0.395775998148187,0,0,0
63,50,21,21,2,1,school,1,1.2255622158108,0.0362270653129127,0.422944683841497,0,0,0
63,50,21,21,3,1,unskilled1|school,2,29.4002919904431,0.0669762953561161,0.409450609759395,0,0,0
63,50,21,21,4,1,maize,1,5.43863066901096,0.882265851958702,0.0516667673769465,0,0,0
63,50,21,21,5,1,unskilled1|maize|industrial_crop,3,45.4176772479028,0.392005291395775,0.266814018689378,0,0,0
63,50,21,21,6,1,unskilled2|maize|industrial_crop,3,44.1788829333968,0.39227955450219,0.26669366033664,0,0,0
63,50,21,21,7,1,maize|cassava|industrial_crop,3,40.1957834312837,0.441265115068848,0.245196706354019,0,0,0
63,46,18,1,1,0,unskilled1|unskilled2,2,62.2945214508114,0.188028493992761,0.235022870343975,0.576613583936559,0,0
63,46,18,1,2,0,unskilled1|school,2,55.09015624558,0.148822081773514,0.24637105617006,0.576613583936559,0,0
63,46,18,1,3,0,unskilled1|maize,2,61.3380848649111,0.602048401126809,0.115185971839162,0.576613583936559,0,0
63,46,18,1,4,0,unskilled1|maize|industrial_crop,3,77.11991136128,0.446616777729264,0.160175218386428,0.576613583936559,0,0
63,46,18,1,5,0,unskilled2|maize|industrial_crop,3,81.2290952800245,0.375862087335096,0.18065496466288,0.576613583936559,0,0
63,46,18,14,1,0,school,1,2.47441635338383,0.00348363396301386,0.288438861410823,2.37827548447365,0,0
