t,year,quarter,agentID,age,tenure_q,loc,isAg,attachment,layers,nLayers,agYF,subsistBase,subsistNow,inflator,grossIncome,sharedOut,netIncome,agIncomeYTD,wealth_start,wealth_end,wealth_expect,wealth_resid,layerIncome,prodBonus,sharedIn,income_expect,income_resid,TOD,inSouth,buffer,lastShortfall,trapped,exitReason
104,2010,4,56,63.2060544864367,104,1,1,0.729756550973948,maize,1,0.6727368,1.75,2.3227106,1.3272632,0,0,0,8.52925428,45.0023625845055,42.6796519845055,42.6796519845055,0,0,0,0,0,0,-9999,0,7,0,0,
104,2010,4,170,71.972649384944,104,6,1,0.685331488336193,maize,1,0.703411975,1.75,2.26902904375,1.296588025,0,0,0,0,20.7919340462816,18.5229050025316,18.5229050025316,0,0,0,0,0,0,-9999,0,7,0,0,
105,2011,1,28,40.0698879284411,105,21,1,0.924177843510159,unskilled1|cassava,2,1,1.75,1.75,1,1.66666666666667,0,1.66666666666667,0,-110.251676729305,-110.335010062638,-110.335010062638,0,1.66666666666667,0,0,1.66666666666667,0,-9999,1,6.27080792079208,0,1,
105,2011,1,56,63.4560544864367,105,1,1,0.729756550973948,maize,1,0.6727368,1.75,2.3227106,1.3272632,0,0,0,0,42.6796519845055,40.3569413845055,40.3569413845055,0,0,0,0,0,0,-9999,0,6.42619661269897,0,0,
105,2011,1,170,72.222649384944,105,1,1,0.685331488336193,cassava,1,0.6727368,1.75,2.3227106,1.3272632,0,0,0,0,18.5475355412287,16.2248249412287,16.2248249412287,0,0,0,0,0,0,-9999,0,1.4,0,0,
106,2011,2,28,40.3198879284411,106,21,1,0.924177843510159,unskilled1|maize,2,1,1.75,1.75,1,1.5,0,1.5,0,-110.335010062638,-110.585010062638,-110.585010062638,0,1.5,0,0,1.5,0,-9999,1,6.27080792079208,0,0,
106,2011,2,56,63.7060544864367,106,18,1,0.729756550973948,maize,1,0.8883476,1.75,1.9453917,1.1116524,0,0,0,0,39.7803278005689,37.8349361005689,37.8349361005689,0,0,0,0,0,0,-9999,0,6.42619661269897,0,0,
106,2011,2,170,72.472649384944,106,1,1,0.685331488336193,maize,1,0.6727368,1.75,2.3227106,1.3272632,0,0,0,0,16.2248249412287,13.9021143412287,13.9021143412287,0,0,0,0,0,0,-9999,0,1.4,0,0,
107,2011,3,28,40.5698879284411,107,21,1,0.924177843510159,unskilled1|maize,2,1,1.75,1.75,1,13.1101382488479,0,13.1101382488479,12.0387096774194,-110.585010062638,-99.2248718137902,-99.2248718137902,0,11.1036866359447,2.00645161290323,0,13.1101382488479,0,-9999,1,6.27080792079208,0,1,
107,2011,3,56,63.9560544864367,107,1,1,0.729756550973948,unskilled1|maize,2,0.856548675,1.75,2.00103981875,1.143451325,11.7404733757812,0,11.7404733757812,9.4506476,37.2583225166324,46.9977560736636,46.9977560736636,0,10.1653654424479,1.57510793333333,0,11.7404733757812,0,-9999,0,6.42619661269897,0,0,
