quarter,year,agentID,loc,lastYearIncome,baselineIncome,dropThreshold,incomeShock,lastShortfall,historyOK,cooldownOK,fired,movedTo
142,2018,447,15,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,151,7,NaN,NaN,NaN,0,0,1,1,0,12
142,2018,968,5,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,545,10,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,767,19,NaN,NaN,NaN,0,0,1,1,0,5
142,2018,1186,16,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,803,11,NaN,NaN,NaN,0,0,1,1,0,10
142,2018,745,1,NaN,NaN,NaN,0,0,1,1,0,9
142,2018,607,21,NaN,NaN,NaN,0,0,1,0,0,5
142,2018,1305,21,NaN,NaN,NaN,0,0,1,1,0,13
142,2018,1439,9,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,1598,19,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,738,17,NaN,NaN,NaN,0,0,1,0,0,21
142,2018,1368,14,NaN,NaN,NaN,0,0,1,0,0,13
142,2018,1457,13,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,1122,11,NaN,NaN,NaN,0,0.299795759852731,1,1,0,0
142,2018,390,3,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,887,11,NaN,NaN,NaN,0,0,1,1,0,1
142,2018,763,1,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,410,2,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,625,19,NaN,NaN,NaN,0,0,1,1,0,18
142,2018,634,14,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,1024,16,NaN,NaN,NaN,0,0,1,0,0,6
142,2018,487,6,NaN,NaN,NaN,0,0,1,1,0,20
142,2018,272,1,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,233,13,NaN,NaN,NaN,0,0,1,1,0,5
142,2018,821,6,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,1178,21,NaN,NaN,NaN,0,0,1,0,0,12
142,2018,102,3,NaN,NaN,NaN,0,0,1,1,0,17
142,2018,1107,6,NaN,NaN,NaN,0,0,1,0,0,5
142,2018,554,13,NaN,NaN,NaN,0,0.48166616837945,1,1,0,18
142,2018,568,5,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,44,5,NaN,NaN,NaN,0,0,1,1,0,8
142,2018,1130,9,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,907,13,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,1003,20,NaN,NaN,NaN,0,0,1,1,0,8
142,2018,1441,4,NaN,NaN,NaN,0,0,1,0,0,18
142,2018,27,6,NaN,NaN,NaN,0,0,1,1,0,9
142,2018,16,13,NaN,NaN,NaN,0,0,1,1,0,9
143,2018,887,1,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,968,5,NaN,NaN,NaN,0,0,1,1,0,15
143,2018,410,2,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1268,13,NaN,NaN,NaN,0,0,1,1,0,20
143,2018,1584,6,NaN,NaN,NaN,0,0,1,0,0,5
143,2018,1391,4,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,255,22,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,243,3,NaN,NaN,NaN,0,0.304175362581109,1,1,0,0
143,2018,347,13,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,541,6,NaN,NaN,NaN,0,0,1,1,0,19
143,2018,554,18,NaN,NaN,NaN,0,0.48166616837945,1,1,0,4
143,2018,27,9,NaN,NaN,NaN,0,0,1,1,0,6
143,2018,1178,12,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1227,5,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,1169,13,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,67,3,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1107,5,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1497,11,NaN,NaN,NaN,0,0,1,1,0,4
